gene	avg_logFC	p_val_adj	tissue	cell_type	hgnc_symbol	entrezgene_description	chromosome_name	start_position	end_position
ENSG00000115306	1.321052603	3.71e-235	CN	Ast	SPTBN1	spectrin beta, non-erythrocytic 1	2	54456317	54671446
ENSG00000115306	1.142890001	5.03e-66	CN	In	SPTBN1	spectrin beta, non-erythrocytic 1	2	54456317	54671446
ENSG00000115306	0.9607891	4.3e-06	CB	Ast	SPTBN1	spectrin beta, non-erythrocytic 1	2	54456317	54671446
ENSG00000115307	0.722442471	1.13e-62	CN	Ast	AUP1	AUP1 lipid droplet regulating VLDL assembly factor	2	74526645	74529760
ENSG00000115310	0.803153337	2.49e-98	CN	Neu	RTN4	reticulon 4	2	54972187	55112621
ENSG00000115310	0.944732827	8.75e-41	CN	OD	RTN4	reticulon 4	2	54972187	55112621
ENSG00000115310	0.856715404	0	CB	Neu	RTN4	reticulon 4	2	54972187	55112621
ENSG00000115355	1.052686036	5.31e-09	AC	OPC	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115355	0.953707269	0.028869226	AC	MG	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115355	1.121014888	1.29e-99	CN	Neu	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115355	0.770796157	4.24e-22	CN	OD	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115355	0.86455557	7.78e-122	CN	Ast	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115355	1.103113166	1.11e-05	CN	OPC	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115355	0.899441586	0.011687594	CB	OD	CCDC88A	coiled-coil domain containing 88A	2	55287842	55419895
ENSG00000115365	1.383984768	4.67e-78	CN	Neu	LANCL1	LanC like 1	2	210431249	210477652
ENSG00000115365	1.010669371	1.05e-23	CN	OD	LANCL1	LanC like 1	2	210431249	210477652
ENSG00000115365	0.980354274	1.64e-130	CN	Ast	LANCL1	LanC like 1	2	210431249	210477652
ENSG00000115365	1.501082411	3.32e-09	CB	OD	LANCL1	LanC like 1	2	210431249	210477652
ENSG00000115461	1.904013529	5.19e-52	CN	In	IGFBP5	insulin like growth factor binding protein 5	2	216672105	216695549
ENSG00000115524	1.256142339	0.000454568	AC	OPC	SF3B1	splicing factor 3b subunit 1	2	197388515	197435091
ENSG00000115524	1.31235633	9.09e-63	CN	Neu	SF3B1	splicing factor 3b subunit 1	2	197388515	197435091
ENSG00000115524	0.704334313	7.85e-16	CN	OD	SF3B1	splicing factor 3b subunit 1	2	197388515	197435091
ENSG00000115524	0.889501388	0.000155414	CB	OD	SF3B1	splicing factor 3b subunit 1	2	197388515	197435091
ENSG00000115525	0.818510702	2.84e-91	AC	Ex	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2	85837120	85905199
ENSG00000115525	0.859072128	1.29e-13	CN	OD	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2	85837120	85905199
ENSG00000115525	0.887387545	3.34e-94	CN	Ast	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2	85837120	85905199
ENSG00000115738	0.998539532	9.95e-52	CN	In	ID2	inhibitor of DNA binding 2	2	8678845	8684461
ENSG00000115756	0.893467167	0	CB	Neu	HPCAL1	hippocalcin like 1	2	10302889	10427617
ENSG00000115839	0.741944729	2.4e-07	CN	OD	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	2	135052265	135176394
ENSG00000115875	1.044892835	8.28e-155	AC	Ex	SRSF7	serine and arginine rich splicing factor 7	2	38743599	38751494
ENSG00000115875	0.785163732	7.65e-45	AC	Ast	SRSF7	serine and arginine rich splicing factor 7	2	38743599	38751494
ENSG00000115875	0.999628359	1.79e-24	CN	OD	SRSF7	serine and arginine rich splicing factor 7	2	38743599	38751494
ENSG00000115875	1.608930402	0	CN	Ast	SRSF7	serine and arginine rich splicing factor 7	2	38743599	38751494
ENSG00000115875	1.000439595	7.78e-18	CB	In	SRSF7	serine and arginine rich splicing factor 7	2	38743599	38751494
ENSG00000115977	1.185193527	5.03e-257	AC	Ex	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	1.146714218	9.28e-161	AC	Ast	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	0.807464328	5.69e-08	AC	OD	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	1.181692029	0.02476591	AC	MG	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	1.592164417	2.73e-47	CN	OD	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	1.557827528	0	CN	Ast	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	1.292363842	0	CB	Neu	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115977	1.37908677	5.28e-36	CB	In	AAK1	AP2 associated kinase 1	2	69457997	69674349
ENSG00000115993	0.945862647	4.07e-102	CN	Ast	TRAK2	trafficking kinesin protein 2	2	201377207	201451500
ENSG00000116005	1.110861335	2.6e-16	CN	OD	PCYOX1	prenylcysteine oxidase 1	2	70257386	70281185
ENSG00000116106	0.953718144	4.9e-132	AC	Ex	EPHA4	EPH receptor A4	2	221418027	221574202
ENSG00000116106	1.310664687	4.68e-42	CN	OD	EPHA4	EPH receptor A4	2	221418027	221574202
ENSG00000116133	-0.811765753	0.016230129	AC	In	DHCR24	24-dehydrocholesterol reductase	1	54849627	54887195
ENSG00000116147	2.673370343	3.29e-34	AC	OPC	TNR	tenascin R	1	175315194	175743616
ENSG00000116147	2.718113468	1.93e-29	CN	OPC	TNR	tenascin R	1	175315194	175743616
ENSG00000116560	0.811616048	0.000178481	CN	OPC	SFPQ	splicing factor proline and glutamine rich	1	35176378	35193145
ENSG00000116574	0.971360402	0.033820878	CB	OD	RHOU	ras homolog family member U	1	228735479	228746664
ENSG00000116641	1.939129515	2.23e-45	AC	OD	DOCK7	dedicator of cytokinesis 7	1	62454298	62688386
ENSG00000116641	0.85370752	2.35e-82	CN	Ast	DOCK7	dedicator of cytokinesis 7	1	62454298	62688386
ENSG00000116641	1.378497678	2.17e-70	CN	In	DOCK7	dedicator of cytokinesis 7	1	62454298	62688386
ENSG00000116741	-1.234137337	5.63e-18	CN	Ast	RGS2	regulator of G protein signaling 2	1	192809039	192812275
ENSG00000116754	0.987952582	1.1e-171	AC	Ex	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.476147849	2.93e-116	CN	Neu	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.358754323	3.91e-38	CN	OD	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.41672159	1.4e-286	CN	Ast	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.194234681	7.62e-52	CN	In	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	2.034385238	1.47e-18	CN	OPC	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.439353202	0.015620861	CN	MG	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.255631129	0	CB	Neu	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.225020532	5.3e-31	CB	In	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.603595207	2.35e-18	CB	Ast	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116754	1.248612634	6.58e-11	CB	OD	SRSF11	serine and arginine rich splicing factor 11	1	70205682	70253052
ENSG00000116871	1.062132343	4.42e-19	CN	OD	MAP7D1	MAP7 domain containing 1	1	36155579	36180849
ENSG00000116871	1.485832707	8.46e-08	CB	OD	MAP7D1	MAP7 domain containing 1	1	36155579	36180849
ENSG00000116983	-0.950858672	6.24e-73	AC	Ex	HPCAL4	hippocalcin like 4	1	39678648	39691485
ENSG00000116983	-0.838258427	1.16e-35	AC	Ast	HPCAL4	hippocalcin like 4	1	39678648	39691485
ENSG00000116983	-0.855241413	4.55e-07	CN	Ast	HPCAL4	hippocalcin like 4	1	39678648	39691485
ENSG00000116983	-0.734332674	2.8e-07	CB	In	HPCAL4	hippocalcin like 4	1	39678648	39691485
ENSG00000116984	0.989548037	9.65e-172	CN	Ast	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	1	236795292	236921278
ENSG00000117298	-0.77506584	4.09e-25	AC	Ex	ECE1	endothelin converting enzyme 1	1	21217247	21345572
ENSG00000117450	1.438518598	4.28e-31	AC	OD	PRDX1	peroxiredoxin 1	1	45511036	45523047
ENSG00000117450	0.998347886	2.58e-38	CN	In	PRDX1	peroxiredoxin 1	1	45511036	45523047
ENSG00000117523	-0.922458013	0.000105577	AC	OD	PRRC2C	proline rich coiled-coil 2C	1	171485551	171593511
ENSG00000117592	1.144279397	1.13e-44	CN	In	PRDX6	peroxiredoxin 6	1	173477330	173488815
ENSG00000117600	-0.926007548	1e-52	AC	Ex	PLPPR4	phospholipid phosphatase related 4	1	99263953	99309590
ENSG00000117616	0.71922029	5.98e-67	AC	Ex	RSRP1	arginine and serine rich protein 1	1	25242249	25338213
ENSG00000117682	-0.919813219	1.71e-28	AC	Ex	DHDDS	dehydrodolichyl diphosphate synthase subunit	1	26432282	26471306
ENSG00000117707	1.489825473	6.5e-112	AC	Ast	PROX1	prospero homeobox 1	1	213983181	214041510
ENSG00000117707	1.840319372	3.63e-60	CN	OD	PROX1	prospero homeobox 1	1	213983181	214041510
ENSG00000117713	-0.871237453	0.008668792	AC	OD	ARID1A	AT-rich interaction domain 1A	1	26693236	26782104
ENSG00000118046	-0.766508084	1.52e-30	AC	Ex	STK11	serine/threonine kinase 11	19	1177558	1228435
ENSG00000118322	1.509506187	4.17e-13	CB	Ast	ATP10B	ATPase phospholipid transporting 10B (putative)	5	160563120	160852214
ENSG00000118473	1.22499171	6.7e-176	AC	Ex	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.269632936	2.31e-81	AC	Ast	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.529082709	2.78e-19	AC	OD	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.40253099	1.14e-05	AC	OPC	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.503871315	3.19e-36	CN	OD	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.842716946	0	CN	Ast	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.241532982	1.81e-17	CB	In	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118473	1.635929529	2.26e-11	CB	Ast	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1	66533383	66751139
ENSG00000118515	-0.794515551	3.84e-09	CN	Neu	SGK1	serum/glucocorticoid regulated kinase 1	6	134169246	134318112
ENSG00000118515	-1.605994243	0.001667054	CN	MG	SGK1	serum/glucocorticoid regulated kinase 1	6	134169246	134318112
ENSG00000118640	1.542784327	0.021465682	AC	MG	VAMP8	vesicle associated membrane protein 8	2	85561562	85582031
ENSG00000118785	2.620379058	1.14e-62	AC	MG	SPP1	secreted phosphoprotein 1	4	87975650	87983426
ENSG00000118785	-0.696267545	5.08e-41	CN	Neu	SPP1	secreted phosphoprotein 1	4	87975650	87983426
ENSG00000118785	1.357278523	6.4e-19	CN	MG	SPP1	secreted phosphoprotein 1	4	87975650	87983426
ENSG00000118785	-1.05683196	1.8e-16	CB	OD	SPP1	secreted phosphoprotein 1	4	87975650	87983426
ENSG00000118922	1.129047853	1.37e-22	CN	OD	KLF12	Kruppel like factor 12	13	73686089	73995056
ENSG00000118971	0.965854339	1.51e-92	AC	Ex	CCND2	cyclin D2	12	4273762	4305353
ENSG00000118971	0.855189597	1.88e-44	AC	Ast	CCND2	cyclin D2	12	4273762	4305353
ENSG00000118971	0.70783059	2e-71	CN	Ast	CCND2	cyclin D2	12	4273762	4305353
ENSG00000119314	1.378476452	0	CN	Ast	PTBP3	polypyrimidine tract binding protein 3	9	112217716	112333667
ENSG00000119396	0.747147176	4.64e-55	AC	Ex	RAB14	RAB14, member RAS oncogene family	9	121178133	121223014
ENSG00000119396	0.701314665	1.87e-10	CN	OD	RAB14	RAB14, member RAS oncogene family	9	121178133	121223014
ENSG00000119547	1.863086998	0	CN	Ast	ONECUT2	one cut homeobox 2	18	57435374	57491298
ENSG00000119632	0.722629963	5.56e-23	CN	In	IFI27L2	interferon alpha inducible protein 27 like 2	14	94127779	94130253
ENSG00000119688	0.717818821	2.94e-63	AC	Ex	ABCD4	ATP binding cassette subfamily D member 4	14	74285269	74303055
ENSG00000119705	-1.006916961	1.27e-36	AC	Ast	SLIRP	SRA stem-loop interacting RNA binding protein	14	77708071	77761104
ENSG00000119705	0.942729749	2.71e-10	AC	OD	SLIRP	SRA stem-loop interacting RNA binding protein	14	77708071	77761104
ENSG00000119820	1.236090143	9.81e-202	AC	Ex	YIPF4	Yip1 domain family member 4	2	32277904	32316594
ENSG00000119820	1.318159487	2.05e-92	AC	Ast	YIPF4	Yip1 domain family member 4	2	32277904	32316594
ENSG00000119820	1.074946172	2.79e-295	CN	Ast	YIPF4	Yip1 domain family member 4	2	32277904	32316594
ENSG00000119865	0.796511866	5.87e-74	AC	Ex	CNRIP1	cannabinoid receptor interacting protein 1	2	68284171	68320051
ENSG00000119866	0.731129388	4.06e-57	AC	Ex	BCL11A	BAF chromatin remodeling complex subunit BCL11A	2	60450520	60554467
ENSG00000119866	0.731674219	7.43e-26	AC	Ast	BCL11A	BAF chromatin remodeling complex subunit BCL11A	2	60450520	60554467
ENSG00000119866	1.103393931	7.55e-175	CN	Ast	BCL11A	BAF chromatin remodeling complex subunit BCL11A	2	60450520	60554467
ENSG00000119900	1.825056762	2.87e-85	CN	In	OGFRL1	opioid growth factor receptor like 1	6	71288811	71309059
ENSG00000119900	1.318155246	4.33e-20	CB	In	OGFRL1	opioid growth factor receptor like 1	6	71288811	71309059
ENSG00000119917	-1.006423639	0.003101933	CN	Neu	IFIT3	interferon induced protein with tetratricopeptide repeats 3	10	89327997	89340971
ENSG00000119917	-1.500598171	0.00229998	CB	OD	IFIT3	interferon induced protein with tetratricopeptide repeats 3	10	89327997	89340971
ENSG00000119927	-0.999030469	3.89e-15	CN	In	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	10	112149865	112215377
ENSG00000119950	0.712921784	1.76e-09	AC	OD	MXI1	MAX interactor 1, dimerization protein	10	110207605	110287365
ENSG00000120049	1.112226914	4.56e-138	AC	Ex	KCNIP2	potassium voltage-gated channel interacting protein 2	10	101825974	101843920
ENSG00000120251	0.772525039	1.27e-189	AC	Ex	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	4	157204182	157366075
ENSG00000120265	1.130367634	2.06e-135	AC	Ex	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	6	149749443	149811420
ENSG00000120265	0.780370828	5.15e-11	CN	OD	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	6	149749443	149811420
ENSG00000120265	1.165461657	1.26e-155	CN	Ast	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	6	149749443	149811420
ENSG00000120594	1.714688632	0.004024271	AC	MG	PLXDC2	plexin domain containing 2	10	19816239	20289856
ENSG00000120694	0.806294212	4.2e-78	AC	Ex	HSPH1	heat shock protein family H (Hsp110) member 1	13	31134973	31162388
ENSG00000120694	0.743335927	2.21e-64	CN	Ast	HSPH1	heat shock protein family H (Hsp110) member 1	13	31134973	31162388
ENSG00000120738	-1.587735698	3.94e-112	AC	Ex	EGR1	early growth response 1	5	138465479	138469303
ENSG00000120738	-0.967750474	3.71e-38	AC	Ast	EGR1	early growth response 1	5	138465479	138469303
ENSG00000120738	-1.101815814	6.49e-13	CN	Ast	EGR1	early growth response 1	5	138465479	138469303
ENSG00000120742	0.701866098	0.00050457	CB	In	SERP1	stress associated endoplasmic reticulum protein 1	3	150541998	150603228
ENSG00000120784	-0.821304028	4.32e-24	AC	Ex	ZFP30	ZFP30 zinc finger protein	19	37613749	37692337
ENSG00000120798	0.757032603	9.47e-09	CB	In	NR2C1	nuclear receptor subfamily 2 group C member 1	12	95020229	95073628
ENSG00000120885	0.820278279	5.01e-19	CN	Neu	CLU	clusterin	8	27596917	27614700
ENSG00000120885	0.813174515	6.47e-21	CB	Ast	CLU	clusterin	8	27596917	27614700
ENSG00000121064	0.924800096	6.21e-125	AC	Ex	SCPEP1	serine carboxypeptidase 1	17	56978105	57006768
ENSG00000121310	0.914147351	3.48e-09	AC	OD	ECHDC2	enoyl-CoA hydratase domain containing 2	1	52895910	52927212
ENSG00000121310	0.752381558	1.4e-33	CN	In	ECHDC2	enoyl-CoA hydratase domain containing 2	1	52895910	52927212
ENSG00000121310	1.405385084	1.75e-10	CB	Ast	ECHDC2	enoyl-CoA hydratase domain containing 2	1	52895910	52927212
ENSG00000121653	1.359890042	1.16e-11	AC	In	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	11	45885651	45906465
ENSG00000121653	0.98993246	8.02e-05	CB	OD	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	11	45885651	45906465
ENSG00000121933	0.965432307	0.021941875	AC	MG	TMIGD3	transmembrane and immunoglobulin domain containing 3	1	111483348	111563962
ENSG00000122012	1.842462758	0	CN	Ast	SV2C	synaptic vesicle glycoprotein 2C	5	76083383	76353939
ENSG00000122417	0.768257945	9.55e-75	AC	Ex	ODF2L	outer dense fiber of sperm tails 2 like	1	86346824	86396342
ENSG00000122417	0.874582019	6.63e-105	CN	Ast	ODF2L	outer dense fiber of sperm tails 2 like	1	86346824	86396342
ENSG00000122417	0.991437797	1.86e-11	CB	In	ODF2L	outer dense fiber of sperm tails 2 like	1	86346824	86396342
ENSG00000122574	1.057714931	1.53e-133	AC	Ex	WIPF3	WAS/WASL interacting protein family member 3	7	29806486	29917066
ENSG00000122574	1.220088862	2.26e-291	CN	Ast	WIPF3	WAS/WASL interacting protein family member 3	7	29806486	29917066
ENSG00000122585	-1.977392849	0.014823833	CN	OD	NPY	neuropeptide Y	7	24284188	24291862
ENSG00000123095	2.081992874	4.97e-08	AC	MG	BHLHE41	basic helix-loop-helix family member e41	12	26120030	26125037
ENSG00000123095	2.317924984	4.7e-06	CN	MG	BHLHE41	basic helix-loop-helix family member e41	12	26120030	26125037
ENSG00000123104	-1.020674521	2.4e-11	AC	OD	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	12	26335352	26833194
ENSG00000123104	-0.733126155	0.001097184	CN	In	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	12	26335352	26833194
ENSG00000123349	1.104333247	2.97e-17	AC	OD	PFDN5	prefoldin subunit 5	12	53295291	53299450
ENSG00000123358	-1.320520699	2.05e-60	AC	Ex	NR4A1	nuclear receptor subfamily 4 group A member 1	12	52022832	52059507
ENSG00000123358	1.903512334	6.35e-57	CN	In	NR4A1	nuclear receptor subfamily 4 group A member 1	12	52022832	52059507
ENSG00000123360	1.187281065	9.56e-219	CN	Ast	PDE1B	phosphodiesterase 1B	12	54549601	54579239
ENSG00000123560	-0.727986125	7.08e-131	CN	Neu	PLP1	proteolipid protein 1	X	103773718	103792619
ENSG00000123562	0.916051424	1.19e-207	CB	Neu	MORF4L2	mortality factor 4 like 2	X	103675496	103688158
ENSG00000123612	1.282132726	1.37e-166	AC	Ex	ACVR1C	activin A receptor type 1C	2	157526767	157628864
ENSG00000123612	1.113329826	5.51e-224	CN	Ast	ACVR1C	activin A receptor type 1C	2	157526767	157628864
ENSG00000123836	0.814548741	5.66e-25	CN	In	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1	207034366	207081024
ENSG00000123908	1.230826948	2.68e-23	CN	OD	AGO2	argonaute RISC catalytic component 2	8	140520156	140635633
ENSG00000123908	1.354009288	0	CN	Ast	AGO2	argonaute RISC catalytic component 2	8	140520156	140635633
ENSG00000123908	1.469161159	3.65e-19	CB	In	AGO2	argonaute RISC catalytic component 2	8	140520156	140635633
ENSG00000123908	1.599438471	1.13e-10	CB	OD	AGO2	argonaute RISC catalytic component 2	8	140520156	140635633
ENSG00000123933	0.849195499	3.08e-08	AC	OD	MXD4	MAX dimerization protein 4	4	2247432	2262109
ENSG00000123933	0.801951213	9.91e-10	CN	OD	MXD4	MAX dimerization protein 4	4	2247432	2262109
ENSG00000123933	0.983814784	1.21e-12	CB	In	MXD4	MAX dimerization protein 4	4	2247432	2262109
ENSG00000123983	0.697050071	4.64e-36	AC	Ast	ACSL3	acyl-CoA synthetase long chain family member 3	2	222860942	222944639
ENSG00000123983	0.749815103	4.21e-73	CN	Ast	ACSL3	acyl-CoA synthetase long chain family member 3	2	222860942	222944639
ENSG00000123983	0.711409211	3.83e-07	CB	In	ACSL3	acyl-CoA synthetase long chain family member 3	2	222860942	222944639
ENSG00000124006	1.163405094	8.97e-28	CN	OD	OBSL1	obscurin like 1	2	219550728	219571859
ENSG00000124225	-0.758884631	7.02e-26	AC	Ex	PMEPA1	prostate transmembrane protein, androgen induced 1	20	57648392	57711536
ENSG00000124225	-0.699383481	5.66e-07	CN	Ast	PMEPA1	prostate transmembrane protein, androgen induced 1	20	57648392	57711536
ENSG00000124313	1.177096238	2.02e-171	AC	Ex	IQSEC2	IQ motif and Sec7 domain 2	X	53225828	53321350
ENSG00000124406	1.001244492	8.25e-142	AC	Ex	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124406	1.809054912	2.59e-20	AC	In	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124406	0.983494936	3.3e-50	AC	Ast	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124406	1.557362901	1.93e-129	CN	Neu	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124406	1.459304073	1.98e-40	CN	OD	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124406	1.453455295	6.87e-274	CN	Ast	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124406	1.038904002	2.74e-05	CB	OD	ATP8A1	ATPase phospholipid transporting 8A1	4	42408373	42657105
ENSG00000124507	-1.046050108	4.6e-66	AC	Ex	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	6	34466061	34535229
ENSG00000124507	-0.870205562	9.04e-39	AC	Ast	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	6	34466061	34535229
ENSG00000124507	-0.912974324	4.09e-09	CN	Ast	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	6	34466061	34535229
ENSG00000124507	-1.298854885	1.02e-19	CB	In	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	6	34466061	34535229
ENSG00000124588	0.718208132	1.03e-46	AC	Ex	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	6	2987987	3028869
ENSG00000124588	0.697999953	4.13e-08	CN	OD	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	6	2987987	3028869
ENSG00000124588	0.954265117	1.14e-09	CB	In	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	6	2987987	3028869
ENSG00000124766	1.691018592	3.54e-08	CN	OPC	SOX4	SRY-box transcription factor 4	6	21593751	21598619
ENSG00000124783	0.826553956	9.44e-71	AC	Ex	SSR1	signal sequence receptor subunit 1	6	7268306	7347446
ENSG00000124783	0.807302198	4.56e-39	AC	Ast	SSR1	signal sequence receptor subunit 1	6	7268306	7347446
ENSG00000124783	0.827114268	1.92e-79	CN	Ast	SSR1	signal sequence receptor subunit 1	6	7268306	7347446
ENSG00000124783	0.75821769	1.05e-08	CB	In	SSR1	signal sequence receptor subunit 1	6	7268306	7347446
ENSG00000124788	0.757935263	4.42e-41	AC	Ast	ATXN1	ataxin 1	6	16299112	16761491
ENSG00000124788	1.017235954	5.46e-179	CN	Ast	ATXN1	ataxin 1	6	16299112	16761491
ENSG00000124942	1.181599905	2.54e-17	AC	OD	AHNAK	AHNAK nucleoprotein	11	62433542	62556235
ENSG00000125089	-1.613527644	3.97e-08	AC	MG	SH3TC1	SH3 domain and tetratricopeptide repeats 1	4	8182072	8241803
ENSG00000125089	-1.599296385	0.012959602	CN	MG	SH3TC1	SH3 domain and tetratricopeptide repeats 1	4	8182072	8241803
ENSG00000125482	-0.922739698	6.97e-34	AC	Ex	TTF1	transcription termination factor 1	9	132375548	132406851
ENSG00000125482	-0.862194023	8.71e-27	AC	Ast	TTF1	transcription termination factor 1	9	132375548	132406851
ENSG00000125510	-0.735377971	1.81e-20	AC	Ex	OPRL1	opioid related nociceptin receptor 1	20	64080082	64100643
ENSG00000125730	0.811531424	1.32e-05	AC	MG	C3	complement C3	19	6677704	6730562
ENSG00000125730	0.969132289	0.001600326	CN	MG	C3	complement C3	19	6677704	6730562
ENSG00000125827	0.728126869	8.55e-06	CN	OD	TMX4	thioredoxin related transmembrane protein 4	20	7977346	8019805
ENSG00000125971	0.952777879	3.4e-15	AC	OD	DYNLRB1	dynein light chain roadblock-type 1	20	34516409	34540958
ENSG00000126070	1.229789886	5.92e-179	AC	Ex	AGO3	argonaute RISC catalytic component 3	1	35930718	36072500
ENSG00000126070	1.090987102	1.11e-65	AC	Ast	AGO3	argonaute RISC catalytic component 3	1	35930718	36072500
ENSG00000126070	1.178072582	1.32e-27	CN	OD	AGO3	argonaute RISC catalytic component 3	1	35930718	36072500
ENSG00000126070	1.390690788	2.41e-252	CN	Ast	AGO3	argonaute RISC catalytic component 3	1	35930718	36072500
ENSG00000126070	0.996999005	1.57e-12	CB	In	AGO3	argonaute RISC catalytic component 3	1	35930718	36072500
ENSG00000126351	0.818337006	3.06e-70	AC	Ex	THRA	thyroid hormone receptor alpha	17	40058290	40093867
ENSG00000126351	0.733587574	8.86e-40	AC	Ast	THRA	thyroid hormone receptor alpha	17	40058290	40093867
ENSG00000126351	1.017723739	8.42e-20	CN	OD	THRA	thyroid hormone receptor alpha	17	40058290	40093867
ENSG00000126351	0.916897298	3.98e-93	CN	Ast	THRA	thyroid hormone receptor alpha	17	40058290	40093867
ENSG00000126583	0.805567923	6.14e-94	CN	Ast	PRKCG	protein kinase C gamma	19	53879190	53907652
ENSG00000126777	-0.82509813	6.49e-07	AC	OD	KTN1	kinectin 1	14	55559072	55701526
ENSG00000126777	-0.881804189	6.38e-19	CN	Ast	KTN1	kinectin 1	14	55559072	55701526
ENSG00000126803	2.054956879	3.37e-17	CB	OD	HSPA2	heat shock protein family A (Hsp70) member 2	14	64535905	64546173
ENSG00000127152	0.766637757	7.84e-38	AC	Ast	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14	99169287	99272197
ENSG00000127152	0.965877554	2.66e-157	CN	Ast	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14	99169287	99272197
ENSG00000127328	0.942003751	4.84e-62	AC	Ast	RAB3IP	RAB3A interacting protein	12	69738681	69823204
ENSG00000127328	1.850195452	2.52e-17	AC	OPC	RAB3IP	RAB3A interacting protein	12	69738681	69823204
ENSG00000127328	0.728417453	5.89e-14	CN	OD	RAB3IP	RAB3A interacting protein	12	69738681	69823204
ENSG00000127328	1.841873364	1.39e-11	CN	OPC	RAB3IP	RAB3A interacting protein	12	69738681	69823204
ENSG00000127328	1.01094647	3.2e-13	CB	In	RAB3IP	RAB3A interacting protein	12	69738681	69823204
